Nasal,FAMACHA,BCS,Dag
NA,153,153,NA
NA,NA,154,NA
NA,155,NA,NA
NA,156,NA,NA
157,NA,157,NA
NA,NA,158,NA
NA,NA,159,NA
NA,160,NA,NA
NA,161,161,NA
NA,162,162,NA
NA,NA,163,NA
NA,164,164,NA
NA,NA,165,NA
NA,NA,166,NA
NA,167,167,NA
NA,168,168,NA
169,169,NA,NA
NA,NA,170,NA
NA,171,NA,NA
NA,NA,172,NA
NA,NA,173,NA
NA,NA,174,NA
NA,NA,175,NA
NA,NA,176,NA
NA,177,177,NA
178,NA,178,NA
NA,NA,179,NA
NA,180,180,NA
NA,NA,181,NA
NA,NA,182,NA
NA,NA,183,NA
NA,NA,184,NA
NA,NA,185,NA
NA,186,186,NA
NA,NA,187,NA
NA,NA,188,NA
NA,NA,189,NA
NA,190,190,NA
NA,NA,191,NA
NA,NA,192,NA
NA,NA,193,NA
NA,NA,194,NA
NA,NA,195,NA
NA,NA,196,NA
NA,197,NA,NA
NA,198,NA,NA
NA,NA,199,NA
NA,NA,200,NA
NA,201,201,NA
NA,NA,202,NA
NA,NA,203,NA
NA,NA,204,NA
NA,NA,205,NA
206,NA,206,NA
NA,NA,207,NA
NA,NA,208,NA
NA,209,209,NA
NA,NA,210,NA
NA,211,NA,NA
NA,212,NA,NA
NA,213,213,NA
NA,214,NA,NA
NA,215,215,NA
216,216,NA,NA
217,217,NA,NA
NA,NA,218,NA
NA,NA,219,NA
NA,220,220,NA
NA,NA,NA,221
NA,NA,NA,222
NA,NA,223,NA
NA,224,NA,NA
NA,NA,225,NA
226,226,NA,NA
227,227,NA,NA
NA,NA,228,NA
NA,NA,229,NA
NA,NA,230,NA
NA,231,231,NA
NA,232,NA,NA
233,NA,233,NA
NA,NA,234,NA
NA,235,NA,NA
NA,236,NA,NA
NA,237,NA,NA
238,NA,238,NA
NA,NA,239,NA
NA,NA,NA,240
241,NA,NA,241
NA,242,NA,NA
NA,NA,243,NA
NA,244,NA,NA
NA,245,NA,NA
246,NA,246,NA
NA,247,NA,NA
248,NA,248,NA
249,NA,NA,249
NA,NA,250,NA
NA,NA,251,NA
252,252,NA,NA
NA,253,NA,NA
NA,NA,254,NA
NA,255,255,NA
NA,NA,256,NA
NA,NA,257,NA
NA,NA,258,NA
NA,259,NA,NA
NA,260,NA,NA
NA,NA,261,NA
NA,262,NA,NA
263,NA,263,NA
NA,264,NA,NA
NA,NA,265,NA
NA,266,NA,NA
267,267,267,NA
268,268,NA,NA
NA,NA,269,NA
NA,NA,270,NA
271,NA,271,NA
NA,NA,272,NA
NA,273,NA,NA
NA,NA,274,NA
NA,NA,275,NA
NA,276,NA,NA
NA,NA,277,NA
NA,278,NA,NA
NA,NA,279,NA
NA,280,NA,NA
281,281,NA,NA
NA,282,NA,NA
NA,283,NA,NA
NA,NA,284,NA
NA,NA,285,NA
286,NA,286,NA
NA,287,NA,NA
288,288,288,NA
NA,NA,289,NA
NA,290,NA,NA
NA,NA,291,NA
NA,NA,292,NA
NA,293,293,NA
NA,NA,294,NA
NA,NA,295,NA
NA,296,NA,NA
NA,297,NA,NA
NA,NA,298,NA
NA,299,NA,NA
NA,300,NA,NA
NA,301,NA,NA
NA,NA,302,NA
303,NA,303,NA
NA,304,NA,NA
NA,NA,305,NA
NA,306,NA,NA
307,307,NA,NA
NA,NA,308,NA
NA,NA,309,NA
310,310,NA,NA
NA,NA,311,NA
NA,NA,312,NA
NA,313,NA,NA
NA,NA,314,NA
NA,315,NA,NA
NA,316,NA,NA
NA,317,NA,NA
NA,NA,318,NA
NA,NA,319,NA
NA,320,NA,NA
NA,321,NA,NA
322,NA,322,NA
NA,323,NA,NA
NA,NA,324,NA
NA,325,325,NA
NA,326,NA,NA
NA,327,327,NA
NA,328,328,NA
NA,329,329,NA
330,330,330,NA
NA,331,NA,NA
NA,NA,332,NA
NA,333,NA,NA
NA,334,334,NA
NA,335,NA,NA
NA,NA,336,NA
NA,337,NA,NA
NA,338,NA,NA
339,NA,339,NA
NA,NA,340,NA
NA,341,NA,NA
NA,342,NA,NA
NA,NA,343,NA
NA,344,NA,NA
NA,NA,345,NA
346,NA,346,NA
NA,347,NA,NA
NA,NA,348,NA
NA,349,NA,NA
NA,NA,350,NA
NA,351,351,NA
NA,352,NA,NA
NA,353,NA,NA
NA,NA,354,NA
NA,NA,355,NA
NA,NA,356,NA
NA,357,357,NA
NA,NA,358,NA
NA,NA,359,NA
NA,360,NA,NA
361,361,NA,NA
NA,NA,362,NA
NA,363,363,NA
NA,364,364,NA
NA,NA,365,NA
NA,NA,366,NA
NA,NA,367,NA
NA,NA,368,NA
NA,NA,369,NA
NA,370,370,NA
NA,NA,371,NA
NA,372,NA,NA
NA,373,NA,NA
NA,374,NA,NA
NA,NA,375,NA
NA,NA,376,NA
NA,377,NA,NA
NA,378,NA,NA
NA,NA,379,NA
NA,380,NA,NA
NA,NA,381,NA
NA,NA,382,NA
NA,383,NA,NA
NA,384,NA,NA
NA,385,NA,NA
NA,386,386,NA
NA,387,NA,NA
NA,NA,388,NA
NA,NA,389,NA
NA,390,NA,NA
NA,391,NA,NA
NA,392,NA,NA
NA,NA,393,NA
NA,NA,394,NA
NA,395,NA,NA
NA,396,396,NA
NA,397,397,NA
NA,398,398,NA
NA,NA,399,NA
NA,NA,400,NA
NA,NA,401,NA
NA,NA,402,NA
NA,NA,403,NA
NA,404,NA,NA
NA,405,NA,NA
406,NA,406,NA
NA,NA,407,NA
NA,408,408,NA
NA,NA,409,NA
410,410,NA,NA
NA,411,411,NA
NA,412,412,NA
NA,NA,413,NA
NA,NA,414,NA
NA,NA,415,NA
NA,416,416,NA
NA,NA,417,NA
NA,NA,418,NA
NA,NA,419,NA
NA,NA,420,NA
NA,NA,421,NA
NA,NA,422,NA
NA,NA,423,NA
NA,424,NA,NA
NA,425,NA,NA
NA,426,NA,NA
NA,427,427,NA
NA,NA,428,NA
NA,NA,429,NA
430,430,NA,NA
NA,431,431,NA
NA,432,NA,NA
NA,433,NA,NA
NA,434,NA,NA
NA,435,NA,NA
